,image,caption
4670,2079110798_ad1370a646,"A boy sits in the library , reading a book ."
4671,2079110798_ad1370a646,A young boy sits in a chair in a bookstore reading a book .
4672,2079110798_ad1370a646,A young boy takes time to read during his trip to the bookstore .
4673,2079110798_ad1370a646,The boy in glasses is reading .
4674,2079110798_ad1370a646,The boy with glasses is sitting and reading a book .
4675,2079152458_40712c3b40,A brown and white dog holds a tennis ball in his mouth .
4676,2079152458_40712c3b40,A dog has a tennis ball in its mouth .
4677,2079152458_40712c3b40,"A golden-colored dog , with his eyes alert , holds a brightly colored tennis ball in his mouth ."
4678,2079152458_40712c3b40,A tan dog is playing with the green ball .
4679,2079152458_40712c3b40,Dog running with a tennis ball in its mouth
4680,207930963_af3a2f1784,A group of people in protective gear .
4681,207930963_af3a2f1784,A man looking down wearing racing clothes with a motorcycle to the right .
4682,207930963_af3a2f1784,A man stands outside .
4683,207930963_af3a2f1784,"A man wearing dirt bike clothes , with a logo in close-up ."
4684,207930963_af3a2f1784,A person in bike riding gear standing with mountains in the background .
4685,2079554580_f18d5c181b,A Dalmatian dog running downhill through leaves in a wooded area .
4686,2079554580_f18d5c181b,A dalmatian runs through the woods .
4687,2079554580_f18d5c181b,A dog runs in the woods .
4688,2079554580_f18d5c181b,A dog runs through a very wooded area .
4689,2079554580_f18d5c181b,The Dalmation is running through the woods .
4690,2080033499_6be742f483,A brown dog is running away from his owner .
4691,2080033499_6be742f483,A brown dog with a lease is running with a person behind the dog .
4692,2080033499_6be742f483,A man is walking behind a dog that is standing on its hind legs .
4693,2080033499_6be742f483,A tan dog on a leash stands on his hind legs .
4694,2080033499_6be742f483,Dog on leash running from man
4695,2081141788_38fa84ce3c,Three children are jumping into the air into a swimming pool at a resort .
4696,2081141788_38fa84ce3c,Three children are jumping into the water under a palm tree .
4697,2081141788_38fa84ce3c,Three children jumping into a pool .
4698,2081141788_38fa84ce3c,Three children jumping into a pool with a palm tree in the middle .
4699,2081141788_38fa84ce3c,Three children jump into a hotel pool from an artificial island .
4700,2081446176_f97dc76951,A guy with a scarf and woven toboggan .
4701,2081446176_f97dc76951,A man in black and white cap and scarf .
4702,2081446176_f97dc76951,A man wearing a scarf and knitted hat is smiling .
4703,2081446176_f97dc76951,A person wearing a hat and scarf looks to the right .
4704,2081446176_f97dc76951,The man has a poof on top of his woolen hat .
4705,2081615901_13092cac56,The backs of two girls dressed identically in black shirts and black and red plants as they climb on a fence .
4706,2081615901_13092cac56,Two children in identical outfits hang on a chain link fence .
4707,2081615901_13092cac56,"Two girls wearing red pants , black pants , and sandals are climbing a chain link fence ."
4708,2081615901_13092cac56,Two identically dressed girls climbing a fence
4709,2081615901_13092cac56,Two young girls in matching outfits standing on a chain link fence .
4710,2081679622_6f1442367d,A boy in grey pajamas is jumping on the couch .
4711,2081679622_6f1442367d,A boy in pajama pants jumps on a red couch .
4712,2081679622_6f1442367d,A boy smiles at the camera and jumps in the air over the couch .
4713,2081679622_6f1442367d,a shirtless boy jumps onto the couch .
4714,2081679622_6f1442367d,The boy in pajama pants jumps off the sofa .
4715,2082005167_a0d6a70020,A black and brown dog is playing on the ice at the edge of a lake .
4716,2082005167_a0d6a70020,A black dog is breaking ice at the edge of a stream .
4717,2082005167_a0d6a70020,A black dog is stepping on the ice .
4718,2082005167_a0d6a70020,A black dog plays with a bit of ice by the frozen river .
4719,2082005167_a0d6a70020,A dog stands on the edge of an icy body of water .
4720,2083434441_a93bc6306b,an elderly woman is riding a bicycle in the city as a yellow taxi is about to pass by .
4721,2083434441_a93bc6306b,An elderly woman rides a bicycle along a city street .
4722,2083434441_a93bc6306b,An older woman with blond hair rides a bicycle down the street .
4723,2083434441_a93bc6306b,A woman in a grey overcoat rides her bicycle along a street .
4724,2083434441_a93bc6306b,"Older woman wearing glassses riding a bicycle with a shopping bag on the handle , yellow car is in the background ."
4725,2083778090_3aecaa11cc,a man in the snow wearing a furry hat and a black jacket with a red scarf
4726,2083778090_3aecaa11cc,A man wearing a hat in a snowstorm .
4727,2083778090_3aecaa11cc,A man with a goatee wears a fur hat in the snow .
4728,2083778090_3aecaa11cc,Man in furry hat stands in snow
4729,2083778090_3aecaa11cc,"The man is wearing a scarf , jacket , and a furry hat on a snowy day ."
4730,2084103826_ffd76b1e3e,A black and white dog is jumping in the grass .
4731,2084103826_ffd76b1e3e,A black and white dog is running with a muzzle .
4732,2084103826_ffd76b1e3e,A black and white dog wearing a face mask runs through a field .
4733,2084103826_ffd76b1e3e,A black and white dog with a mask on its face is running in a field .
4734,2084103826_ffd76b1e3e,The black and white muzzled dog is leaping above the grass .
4735,2084157130_f288e492e4,A black and white dog runs beside a brown dog in a green field .
4736,2084157130_f288e492e4,The black and white dog along with the brown dog are galloping outside
4737,2084157130_f288e492e4,Two dogs race through a field .
4738,2084157130_f288e492e4,Two dogs run across the grassy field .
4739,2084157130_f288e492e4,Two dogs running fast in the grass .
4740,2084217208_7bd9bc85e5,"A person in a blue jacket , wearing a bicycle helmet is riding a bike"
4741,2084217208_7bd9bc85e5,A woman is riding her bicycle .
4742,2084217208_7bd9bc85e5,A woman riding a bike in a park
4743,2084217208_7bd9bc85e5,A woman with a blue jacket wears a helmet as she rides a bike .
4744,2084217208_7bd9bc85e5,A woman with a helmet riding a bike .
4745,2085078076_b9db242d21,A small boy standing near muddy water with something in his hand while someone beside him washes clothing in buckets .
4746,2085078076_b9db242d21,A young black child stands on the edge of a body of water near buckets .
4747,2085078076_b9db242d21,A young boy stands near the water in a muddy river .
4748,2085078076_b9db242d21,Child standing by a rivers edge with laundry in buckets next to them .
4749,2085078076_b9db242d21,"On shore near brown water , boy holds object beside buckets of rags ."
4750,2085255128_61224cc47f,A boy high in the air above the dirt and water near the red rock cliffs .
4751,2085255128_61224cc47f,A medium sized child jumps off of a dusty bank over a creek .
4752,2085255128_61224cc47f,a young person wearing a grey shirt and yellow shorts jumping into a river .
4753,2085255128_61224cc47f,"Person in yellow shorts , grey shirt with logo jumping from bank into the water ."
4754,2085255128_61224cc47f,The boy in yellow shorts leaps from river bank towards the river .
4755,2085400856_ae09df33a7,A dog in the snow .
4756,2085400856_ae09df33a7,A dog laying in the snow .
4757,2085400856_ae09df33a7,A dog lays on the snow .
4758,2085400856_ae09df33a7,A golden dog plays in the snow
4759,2085400856_ae09df33a7,A red dog crouches in the snow .
4760,2085403342_a17b0654fe,A child in a bright red jacket runs through a pile of hay .
4761,2085403342_a17b0654fe,A little girl in a red sweater and blue skirt is in the hay .
4762,2085403342_a17b0654fe,A young child dances on a straw surface .
4763,2085403342_a17b0654fe,The boy is running through hay at a pumpkin patch .
4764,2085403342_a17b0654fe,The child is walking through straw .
4765,2085557551_7a88d01d4e,A boy holding kitchen utensils and making a threatening face
4766,2085557551_7a88d01d4e,A boy is pulling a wild face whilst waving cooking implements in his hands .
4767,2085557551_7a88d01d4e,a girl in a tan shirt holding up a fork and knife in one hand and a pot in the other
4768,2085557551_7a88d01d4e,A person with cooking utilities poses menacingly in a dark environment .
4769,2085557551_7a88d01d4e,A woman with a knife and fork grimmaces .
4770,2085726719_a57a75dbe5,Two girls bundled up in winter coats pose for a picture .
4771,2085726719_a57a75dbe5,Two girls holding drinks and looking at something on a cellphone .
4772,2085726719_a57a75dbe5,Two teen girls are looking at a small electronic device while wearing winter coats .
4773,2085726719_a57a75dbe5,Two women dressed for cold weather in jackets and gloves look at something on a cellphone screen .
4774,2085726719_a57a75dbe5,Two young girls huddle to look at a cellphone .
4775,2086513494_dbbcb583e7,A girl in a white coat takes pictures .
4776,2086513494_dbbcb583e7,A girl in a white puffy jacket takes a picture .
4777,2086513494_dbbcb583e7,a group of people looking into their cameras
4778,2086513494_dbbcb583e7,Asian woman in white coat takes photo .
4779,2086513494_dbbcb583e7,The woman in the white coat is holding a camera in her hand .
4780,2086532897_b8714f2237,A kayaker falling down a waterfall
4781,2086532897_b8714f2237,A man is kayaking down a waterfall .
4782,2086532897_b8714f2237,A man on a kayak coming down a raging waterfall
4783,2086532897_b8714f2237,A person is on a small boat and going down some very strong water currents .
4784,2086532897_b8714f2237,White water rafter goes through a rough spot .
4785,2086534745_1e4ab80078,A man in a yellow boat paddling down rough waters .
4786,2086534745_1e4ab80078,A rafter in a yellow raft in a steamy white river .
4787,2086534745_1e4ab80078,A yellow kayak is descending quickly down a white water rapid .
4788,2086534745_1e4ab80078,Kayacker riding rough current downstream .
4789,2086534745_1e4ab80078,The yellow kayak is in the middle of the rapids .
4790,2086678529_b3301c2d71,A girl in a purple dress smiling as she climbs an indoor rock wall .
4791,2086678529_b3301c2d71,A girl is in a dress .
4792,2086678529_b3301c2d71,A little girl wearing a purple dress looks down at the camera .
4793,2086678529_b3301c2d71,"a young girl climbs a rock wall , in a purple dress ."
4794,2086678529_b3301c2d71,A young girl wears a purple dress .
4795,2087317114_cf06df5aa5,A Mani is kayaking down some calmer rapids .
4796,2087317114_cf06df5aa5,A man in a small kayak is floating down the river .
4797,2087317114_cf06df5aa5,A man in a yellow jacket is floating on the river in a green kayak .
4798,2087317114_cf06df5aa5,A man smiles in his blue and green kayak .
4799,2087317114_cf06df5aa5,A man wearing a helmet in a Pyranha kayak floats down some river rapids .
4800,2087640654_1a84577a44,A blonde dog is digging a deep hole in the ground and its tail is up in the air .
4801,2087640654_1a84577a44,A dog half way in a hole in the ground .
4802,2087640654_1a84577a44,A dog is digging a large hole in a yard to find something .
4803,2087640654_1a84577a44,A dog is digging in the ground and half of his body is under the ground .
4804,2087640654_1a84577a44,The rear end of an animal whose front end is underground .
4805,2088120475_d6318364f5,A person dressed up as a snowman is walking through a crowd of people .
4806,2088120475_d6318364f5,"five cold people in the snowstorm , one wearing a snowman head"
4807,2088120475_d6318364f5,People pose for a picture in the snow
4808,2088120475_d6318364f5,Three young people pose by a snowman in a red tie .
4809,2088120475_d6318364f5,Two couples pose with a snowman .
4810,2088460083_42ee8a595a,A broken down hummer gets towed on a truck bed .
4811,2088460083_42ee8a595a,A damaged vehicle is carried by a repair truck in a night-time scene .
4812,2088460083_42ee8a595a,A flat bed truck in a parking lot with an army vehicle on its bed .
4813,2088460083_42ee8a595a,"An old , beat-up jeep being towed away ."
4814,2088460083_42ee8a595a,Dirty SUV sits on the bed of a tow truck at night .
4815,2088532947_c628e44c4a,The girl in the white shirt has a bracelet on and has her arm around the girl in the peach shirt .
4816,2088532947_c628e44c4a,The two girls laid on the grass together .
4817,2088532947_c628e44c4a,Two little girls are laying on the grass smiling .
4818,2088532947_c628e44c4a,two young girls holding each other on the grassy ground
4819,2088532947_c628e44c4a,two young girls hug each other in the grass .
4820,2088910854_c6f8d4f5f9,A large man is wearing a headband with mistletoe attached to it .
4821,2088910854_c6f8d4f5f9,A man in a sweatshirt and cap wears a flower on his head .
4822,2088910854_c6f8d4f5f9,A man wearing a black knit cap with a red and white striped headband with a flower on top .
4823,2088910854_c6f8d4f5f9,An man with a black ski cap and a red and white headband looks into the distance .
4824,2088910854_c6f8d4f5f9,Man wearing a black hat with a christmas theme .
4825,2089122314_40d5739aef,A dog running with a newspaper in its mouth .
4826,2089122314_40d5739aef,"A dog runs down the street , carrying a newspaper ."
4827,2089122314_40d5739aef,A dog with a newspaper in his mouth runs down a paved path .
4828,2089122314_40d5739aef,"A fluffy , tri-colored dog is running down the road with a paper in its mouth ."
4829,2089122314_40d5739aef,An Australian shepherd dog carrying a newspaper in his mouth .
4830,2089350172_dc2cf9fcf6,"three black dogs are swimming through some murky brown water , one with a yellow object in its mouth ."
4831,2089350172_dc2cf9fcf6,three black dogs swimming in dirty water
4832,2089350172_dc2cf9fcf6,Three dark dogs swimming and one of them has a ball .
4833,2089350172_dc2cf9fcf6,Three dogs are up to their necks in water .
4834,2089350172_dc2cf9fcf6,Three dogs swim in the water .
4835,2089426086_7acc98a3a8,A girl in a hooded jacket presents a cake with candles .
4836,2089426086_7acc98a3a8,A girl in a hood jacket holds a birthday cake with many candles .
4837,2089426086_7acc98a3a8,A girl in a winter coat with a birthday cake .
4838,2089426086_7acc98a3a8,A girl is holding a birthday cake .
4839,2089426086_7acc98a3a8,A young girl holding a cake with candles dressed in a heavy coat .
4840,2089442007_6fc798548c,A brown dog is walking in the water .
4841,2089442007_6fc798548c,A brown dog takes cautious steps in the calm waters with a sandy bottom .
4842,2089442007_6fc798548c,A brown dog wades in the water .
4843,2089442007_6fc798548c,A dog with red fur stands in a body of water .
4844,2089442007_6fc798548c,"A large , golden colored dog is walking through water ."
4845,2089539651_9e518ec7de,A hiker with two hiking poles stands on a hillside with a view of the city below him .
4846,2089539651_9e518ec7de,A hiker with two sticks is a standing on a path that is high up on a hill .
4847,2089539651_9e518ec7de,A hiking man stands on a cliff overlooking a city .
4848,2089539651_9e518ec7de,A man hikes on a dirt path high above a city .
4849,2089539651_9e518ec7de,A person holding poles is standing on a rock ledge with bushes on each side overlooking mountains .
4850,2089542487_b4c1ee7025,A hiker is ready to take on a rugged outdoor trail .
4851,2089542487_b4c1ee7025,a lone hiker on a dirt hiking trail with a hat and sunglasses on with trees in the background
4852,2089542487_b4c1ee7025,A man in shorts is hiking in a dry region .
4853,2089542487_b4c1ee7025,A man stops for a picture with the scenery during his hike .
4854,2089542487_b4c1ee7025,"The man is posing for a picture in the desert wearing a green shirt and hat , and holding a metal detector ."
4855,2089555297_95cf001fa7,A man in a hat with long sleeves and long pants stands overlooking a city .
4856,2089555297_95cf001fa7,A man stands on a cliff overlooking a city .
4857,2089555297_95cf001fa7,A man with a backpack and hat is standing by a high cliff where you can see for miles .
4858,2089555297_95cf001fa7,Hiker standing on top of a rock overlooking a town .
4859,2089555297_95cf001fa7,"The man wearing a backpack and a hat , stands on a ledge overlooking a city ."
4860,2090327868_9f99e2740d,"A woman , a little boy , and a tiny baby are standing in front of a cow statue ."
4861,2090327868_9f99e2740d,a woman and two small children posing in front of a large cow statue .
4862,2090327868_9f99e2740d,A woman gives a baby to a small child to hold as they stand in front of a cow statue .
4863,2090327868_9f99e2740d,A woman stands with two children near a decorated bull statue .
4864,2090327868_9f99e2740d,The woman and children are standing next to a statue of a cow .
4865,2090339522_d30d2436f9,A man in a green hat is someplace up high .
4866,2090339522_d30d2436f9,A man in a green hat is taking a self portrait .
4867,2090339522_d30d2436f9,A man in a hat at a scenic overlook .
4868,2090339522_d30d2436f9,a man wearing a green canvas hat with a distnat city in the background
4869,2090339522_d30d2436f9,Man with green hate and sunglasses on a high up peak
4870,2090386465_b6ebb7df2c,A woman and man in winter gear stand .
4871,2090386465_b6ebb7df2c,Three adults wearing cold weather gear .
4872,2090386465_b6ebb7df2c,Two people are wearing heavy clothing .
4873,2090386465_b6ebb7df2c,Two people in winter clothing .
4874,2090386465_b6ebb7df2c,two women bundled up on a snowy day
4875,2090387793_274ab4cf7d,A boy wearing black walks down the street with his hands in fists .
4876,2090387793_274ab4cf7d,A teenage boy dressed in black stands on a snowy street .
4877,2090387793_274ab4cf7d,A teenage boy wearing all black tries to look tough with cheap jewelry on .
4878,2090387793_274ab4cf7d,A young man wearing a black hat and jacket is walking outside .
4879,2090387793_274ab4cf7d,Punk rock teenager walks with a mean look on his face .
4880,2090545563_a4e66ec76b,the boy laying face down on a skateboard is being pushed along the ground by another boy .
4881,2090545563_a4e66ec76b,Two girls play on a skateboard in a courtyard .
4882,2090545563_a4e66ec76b,Two people play on a long skateboard .
4883,2090545563_a4e66ec76b,Two small children in red shirts playing on a skateboard .
4884,2090545563_a4e66ec76b,two young children on a skateboard going across a sidewalk
4885,2090723611_318031cfa5,Dogs walking in the grassy field .
4886,2090723611_318031cfa5,Large fluffy grey dog standing in grass in front of a brown dog .
4887,2090723611_318031cfa5,one dog standing in some grass with his tongue hanging out and a tan dog in the background
4888,2090723611_318031cfa5,Two dogs of different breeds are standing in a pasture .
4889,2090723611_318031cfa5,Two dogs stand in the grass .
4890,2090997177_76d482b158,A black dog bounds across the sand .
4891,2090997177_76d482b158,A dog walking across the desert .
4892,2090997177_76d482b158,A short black dog is walking over a barren landscape .
4893,2090997177_76d482b158,A small black dog running across the sand .
4894,2090997177_76d482b158,A small black dog walks in the sand .
4895,2091171488_c8512fec76,A female wearing pink gloves and a brown jacket is smiling in the snow .
4896,2091171488_c8512fec76,A woman standing in the snow with people in the background .
4897,2091171488_c8512fec76,A young woman in a spring coat and purple gloves stands in falling snow .
4898,2091171488_c8512fec76,A young woman looks happy in winter clothes while it snows .
4899,2091171488_c8512fec76,Young asian woman with pink gloves stands in the snow .
4900,2092177624_13ab757e8b,A boy in african clothing runs across a concrete wall .
4901,2092177624_13ab757e8b,A little boy with a green shirt is running on a rock ledge .
4902,2092177624_13ab757e8b,An African boy in large green shirt is running barefoot along a wall .
4903,2092177624_13ab757e8b,"A young boy dressed in green running along a smooth , stone wall near a wooded area ."
4904,2092177624_13ab757e8b,Boy in green tunic on rock wall .
4905,2092419948_eea8001d0f,A long haired man walking away beside a canal whist holding onto a railing .
4906,2092419948_eea8001d0f,A man walks down a path next to a waterway .
4907,2092419948_eea8001d0f,A person walks by some blue-green water while holding a rail .
4908,2092419948_eea8001d0f,a person with a long ponytail walks along a waterway under a tunnel
4909,2092419948_eea8001d0f,The man with long hair is walking along a storm drain .
4910,2092870249_90e3f1855b,A man lies on a street with his head and shoulders under a parked car that is jacked up .
4911,2092870249_90e3f1855b,A man looks under a car on a wet street .
4912,2092870249_90e3f1855b,A man works on a car .
4913,2092870249_90e3f1855b,"A person lies half under a car , face-down ."
4914,2092870249_90e3f1855b,A person underneath a car with a jack .
4915,2094323311_27d58b1513,A dog places his head on a man 's face .
4916,2094323311_27d58b1513,A dog snuggles with a man in sunglasses .
4917,2094323311_27d58b1513,A dog with a blue collar is licking a man who 's wearing large tinted sunglasses .
4918,2094323311_27d58b1513,A large brown dog with a blue collar is resting his chin on a man 's face .
4919,2094323311_27d58b1513,An orange dog is licking a man wearing red sunglasses .
4920,2094543127_46d2f1fedf,A girl holding a crocodile 's mouth closed
4921,2094543127_46d2f1fedf,A girl is posed over a statue of a dangerous animal .
4922,2094543127_46d2f1fedf,A girl sits on what appears to be a crocodile .
4923,2094543127_46d2f1fedf,A girl sitting on top of a crocodile
4924,2094543127_46d2f1fedf,A girl with red hair is sitting on a crocodile holding its jaw .
4925,2094810449_f8df9dcdf7,A boy stands in the ocean lifting up his shorts .
4926,2094810449_f8df9dcdf7,A child in blue shorts is standing ankle deep in the water .
4927,2094810449_f8df9dcdf7,"A little boy in blue shorts , glasses , and a coat stands in the surf ."
4928,2094810449_f8df9dcdf7,The kid is wearing a blue jacket and standing in shallow beach water .
4929,2094810449_f8df9dcdf7,The small child wades ankle deep in the water on the shoreline .
4930,2095007523_591f255708,A baby looks through his crib .
4931,2095007523_591f255708,"A baby , surrounded by some toys , looks out of a playpen ."
4932,2095007523_591f255708,Baby in playpen with wide eyes
4933,2095007523_591f255708,Baby looking through playpen bars at camera .
4934,2095007523_591f255708,"The infant is laying on its stomach , in a crib , looking up at the camera ."
4935,2095078658_c14ba89bc2,A dog runs through snow in front of the woods .
4936,2095078658_c14ba89bc2,Large dog running in snow
4937,2095078658_c14ba89bc2,The dog runs through the snow .
4938,2095078658_c14ba89bc2,The German shepherd dog is running through the snow .
4939,2095078658_c14ba89bc2,The German Shepherd is running through the white snow .
4940,2095435987_1b7591d214,A dog lying on its back in the sand .
4941,2095435987_1b7591d214,A white and brown dog rolls on its back in the sand .
4942,2095435987_1b7591d214,The dog rolls over to scratch its back in the sand .
4943,2095435987_1b7591d214,The white and brown dog is rolling in the sand .
4944,2095435987_1b7591d214,The white dog is on its back in the sand with paws in the air .
4945,2095444126_201ff9f222,A dog is shaking off water .
4946,2095444126_201ff9f222,A dog shakes his head .
4947,2095444126_201ff9f222,A dog shakes off water
4948,2095444126_201ff9f222,A dog shakes off water and gets contorted .
4949,2095444126_201ff9f222,The dog is shaking water off of his body .
4950,2095478050_736c4d2d28,A man and a boy play music as little girls watch .
4951,2095478050_736c4d2d28,A man is playing a guitar with a child playing a harmonica while three young girls watch .
4952,2095478050_736c4d2d28,Three children watch a man onstage playing guitar .
4953,2095478050_736c4d2d28,Three little girls look on as a boy plays the harmonica with an adult guiutarist sitting beside him .
4954,2095478050_736c4d2d28,Three little girls watch a band .
4955,209605542_ca9cc52e7b,a climber wearing a red headband is pulling himself up some grey rocks high above some green foliage .
4956,209605542_ca9cc52e7b,A man in a headband climbing a rock .
4957,209605542_ca9cc52e7b,a man with a red headband climbing a rock cliff looming over greenery .
4958,209605542_ca9cc52e7b,Man climbing a sheet rock face .
4959,209605542_ca9cc52e7b,Man in red headband climbing a rock
4960,2096771662_984441d20d,a man looks through his binoculars while another man holds a drink .
4961,2096771662_984441d20d,A man with a thermos is standing next to a man who is gazing through binoculars .
4962,2096771662_984441d20d,Two men are standing together while one looks through binoculars .
4963,2096771662_984441d20d,Two men look out as one is holding binoculars .
4964,2096771662_984441d20d,two people standing next to each other with mountains in the distance .
4965,2097398349_ff178b3f1b,A hiker waves to the camera as he standing in front of snowcapped mountains .
4966,2097398349_ff178b3f1b,A man stands on the snow near the mountains .
4967,2097398349_ff178b3f1b,A person poses in the snow .
4968,2097398349_ff178b3f1b,"A person stands in the snow at the top of a mountian , arms raised ."
4969,2097398349_ff178b3f1b,A skier in the mountains .
4970,2097403787_77a154f5b9,a lone person standing on some rocks with large snowy mountains in the background .
4971,2097403787_77a154f5b9,A man is standing on the rocky ground in front of the mountain .
4972,2097403787_77a154f5b9,A man standing in front of an icy mountain .
4973,2097403787_77a154f5b9,The person is standing by the water in front of the snow topped mountains .
4974,2097403787_77a154f5b9,The traveller pauses in front of the mountain view .
4975,2097407245_c798e0dcaf,A man in a winter jacket and knit cap stand with his arms up at his side in a snow landscape .
4976,2097407245_c798e0dcaf,A man is standing on dirt with his hands in the air with mountains and snow behind him .
4977,2097407245_c798e0dcaf,A man raises his arms on rocky beach .
4978,2097407245_c798e0dcaf,One lone man with fist in the air with large rocky mountains in the background
4979,2097407245_c798e0dcaf,Man with outstretched arms standing on snow-covered rocks .
4980,2097420505_439f63c863,A male hiker wearing a green jacket is posing next to a large glacier .
4981,2097420505_439f63c863,A man with a camera and an ice structure behind him .
4982,2097420505_439f63c863,A man with a camera crouching on ice .
4983,2097420505_439f63c863,A man with a camera kneels in front of a giant hill of snow .
4984,2097420505_439f63c863,The mountain climber prepares to take a photo .
4985,2097489021_ca1b9f5c3b,A girl in a ballet fairy costume is touched by a wand .
4986,2097489021_ca1b9f5c3b,A young girl performing the nutcracker .
4987,2097489021_ca1b9f5c3b,The little girl is standing on a stage dressed up as a pink fairy .
4988,2097489021_ca1b9f5c3b,"The tiny girl dressed in a butterfly ballet costume , waves her wand near a nutcracker statue ."
4989,2097489021_ca1b9f5c3b,Young girl waving turquiose leotard and pink tutu with wings waving wand .
4990,2098174172_e57d86ea03,A hiker is posing in front of snowy mountains .
4991,2098174172_e57d86ea03,A hiker is standing in before the mountain holding two walking sticks .
4992,2098174172_e57d86ea03,A man stands in front of snow covered mountains .
4993,2098174172_e57d86ea03,A man with two ski poles stands near a mountaintop .
4994,2098174172_e57d86ea03,The man wears a green hat and jacket while standing in front of a mountain .
4995,2098418613_85a0c9afea,A brown chow mix dog is standing in front of a van with euro plats in the middle of a messy yard .
4996,2098418613_85a0c9afea,A brown dog standing in a muddy yard .
4997,2098418613_85a0c9afea,A brown dogs walks near a green van and some junk .
4998,2098418613_85a0c9afea,A large brown dog stands in front of a green van in the yard of a house .
4999,2098418613_85a0c9afea,A yellow dog is standing in front of a green car and next to a toilet .
5000,2098646162_e3b3bbf14c,A black and gray cat stands on a contracption while two big dogs stare at it .
5001,2098646162_e3b3bbf14c,Two black and white dogs are looking at a grey and white kitty .
5002,2098646162_e3b3bbf14c,Two black and white dogs look at a kitten perched on some equipment .
5003,2098646162_e3b3bbf14c,Two black and white dogs looking at a black and white kitten who is sitting on top of a tank with hoses on it .
5004,2098646162_e3b3bbf14c,Two dogs are staring at a grey and white cat .
5005,2099323664_bb20457f26,a dog jumps onto the sidewalk .
5006,2099323664_bb20457f26,A small dog runs from the dirt onto the street
5007,2099323664_bb20457f26,"A tan , white , and black dog runs towards a sidewalk ."
5008,2099323664_bb20457f26,Dog leaps out .
5009,2099323664_bb20457f26,The brown and white dog is standing on its hind legs beside the path .
5010,2100046085_69b59b6645,Two dogs drink water in a lake .
5011,2100046085_69b59b6645,Two white dogs are drinking water out of a lake .
5012,2100046085_69b59b6645,Two white dogs drink from the lake .
5013,2100046085_69b59b6645,two white dogs drinking out of a stream
5014,2100046085_69b59b6645,Two white dogs walk around in shallow water .
5015,2100735137_05c6079537,A little boy jumps on a toy air gun .
5016,2100735137_05c6079537,A little girl is playing with a colorful toy in the ground .
5017,2100735137_05c6079537,A small child jumps on a colorful toy in the street .
5018,2100735137_05c6079537,A young girl playing with two plastic and foam toy rockets .
5019,2100735137_05c6079537,A young girl plays on a colorful toy outside .
5020,2100816230_ff866fb352,A man in yellow jumps with his skis .
5021,2100816230_ff866fb352,A man in yellow ski jumping over a barrel .
5022,2100816230_ff866fb352,A man jumps while snow skiing .
5023,2100816230_ff866fb352,A skier catches air over the snow .
5024,2100816230_ff866fb352,Man skiing over a barrel in a snowy area .
5025,2100909581_b7dde5b704,A dog is jumping in the snow .
5026,2100909581_b7dde5b704,A large white dog is jumping in the air over a snowy area .
5027,2100909581_b7dde5b704,a large white dog jumping up in the snow
5028,2100909581_b7dde5b704,A white dog plays outside in a fenced yard while it snows .
5029,2100909581_b7dde5b704,White dog playing in the snow .
5030,2101128963_fdf8b2a0d7,A baseball is recoiling from an action taken on a treated field watched by others .
5031,2101128963_fdf8b2a0d7,A baseball player on a playing field springs into action .
5032,2101128963_fdf8b2a0d7,A baseball player standing on the mound .
5033,2101128963_fdf8b2a0d7,A Philadelphia Phillie pitcher on the pitchers mound with his left leg up behind him .
5034,2101128963_fdf8b2a0d7,A pitcher in a red and white uniform in a baseball game has just thrown the ball .
5035,210126070_0d43b300b9,A boy is being watched as he leaps up in the air on a trampoline .
5036,210126070_0d43b300b9,A boy without a shirt on is jumping in the air almost upside down .
5037,210126070_0d43b300b9,A guy standing is watching another guy in midair .
5038,210126070_0d43b300b9,A shirtless teenager bounces on a trampoline as other children watch .
5039,210126070_0d43b300b9,Kids jumping with one boy in midair .
5040,2101457132_69c950bc45,A black dog is leaping into a creek .
5041,2101457132_69c950bc45,A black dog is leaping over a stream of running water .
5042,2101457132_69c950bc45,A black dog jumping off a river bank near a wooded area .
5043,2101457132_69c950bc45,A wet black dog jumping into a lake .
5044,2101457132_69c950bc45,A wet black dog leaps across a stream .
5045,2101808682_0d66ef4a08,"A boy being swarmed by pigeons , marble building in the background ."
5046,2101808682_0d66ef4a08,A boy is surrounded by pigeons .
5047,2101808682_0d66ef4a08,pigeons attack a blonde boy .
5048,2101808682_0d66ef4a08,Pigeons swarm all over a boy .
5049,2101808682_0d66ef4a08,There are birds on the boy
5050,2102030040_2e8f4738f7,A girl skiing .
5051,2102030040_2e8f4738f7,A woman on a ski slope .
5052,2102030040_2e8f4738f7,A woman skier smiles for the camera while on a snowy slope .
5053,2102030040_2e8f4738f7,A woman standing on a snowy hill about to ski .
5054,2102030040_2e8f4738f7,A woman with a blue jacket is posing for a picture while skiing down a mountain
5055,2102315758_a9148a842f,A man and woman walking on the sand with water in the background .
5056,2102315758_a9148a842f,A man carrying a baby walks next to a woman along the beach .
5057,2102315758_a9148a842f,A woman and a man carrying a small child walking on a rocky beach .
5058,2102315758_a9148a842f,Two individuals standing on a beach .
5059,2102315758_a9148a842f,Two people stand on a beach and look to the right .
5060,2102360862_264452db8e,A man on the beach is taking a picture of another man .
5061,2102360862_264452db8e,A man posing for his photo on a rocky beach .
5062,2102360862_264452db8e,A man takes a picture of another man at the beach .
